ID,Band,AcID,FirstYr,FirstDateBred,LastObsDate,AgeFirstBreed,AgeKnown,Sex,SexInd,Days
-GSW,793-09760,349,1982,2/1/1982,11/12/1987,6,Y,M,1,2110
P-SA,793-09803,391,1982,3/27/1982,10/7/1983,7,N,M,1,559
SYR-,793-09858,446,1982,4/1/1982,5/10/1983,5,Y,M,1,404
-SYW,793-09885,472,1980,5/15/1980,4/15/1990,2,Y,M,1,3622
OZ-W,1013-63369,742,1994,4/17/1994,4/14/1998,2,Y,M,1,1458
YZ-OK,1013-63445,774,1994,4/19/1994,11/12/2002,2,Y,M,1,3129
YZ-OK,1013-63445,774,1994,4/19/1994,11/12/2002,2,Y,M,1,3129
B-FQ,1043-44204,777,1997,3/24/1997,7/10/1997,2,N,M,1,108
B-FQ,1043-44204,777,1997,3/24/1997,7/10/1997,2,N,M,1,108
B-FQ,1043-44204,777,1997,3/24/1997,7/10/1997,2,N,M,1,108
F-PM,1043-44205,778,1997,4/10/1997,12/13/1997,2,N,M,1,247
F-YQ,1043-44207,780,1997,3/15/1997,6/14/2001,2,N,M,1,1552
L-PC,1043-44209,782,1997,4/6/1997,2/18/1998,2,N,M,1,318
L-PC,1043-44209,782,1997,4/6/1997,2/18/1998,2,N,M,1,318
ZBW-,1043-44215,789,1999,4/6/1999,7/11/2008,2,Y,M,1,3384
ZBW-,1043-44215,789,1999,4/6/1999,7/11/2008,2,Y,M,1,3384
ZGR-,1043-44222,796,2001,3/9/2001,6/14/2001,4,Y,M,1,97
ZOG-,1043-44237,811,2001,4/6/2001,8/22/2012,4,Y,M,1,4156
ZGW-,1043-44253,827,2000,4/10/2000,2/12/2001,3,Y,M,1,308
ZOO-,1043-44300,874,1999,3/30/1999,7/11/2002,2,Y,M,1,1199
ZOO-,1043-44300,874,1999,3/30/1999,7/11/2002,2,Y,M,1,1199
R-LC,1043-80105,879,1989,4/4/1989,8/15/1989,3,N,M,1,133
R-LC,1043-80105,879,1989,4/4/1989,8/15/1989,3,N,M,1,133
SFW=,1043-80108,882,1990,3/7/1990,12/13/1991,3,Y,M,1,646
Y-RC,1043-80117,891,1990,4/24/1990,5/17/1990,4,N,M,1,23
Y-RC,1043-80117,891,1990,4/24/1990,5/17/1990,4,N,M,1,23
Y-GC,1043-80118,892,1988,4/7/1988,8/15/1989,2,N,M,1,495
Y-BC,1043-80120,894,1988,5/4/1988,4/14/1998,2,N,M,1,3632
Y-LC,1043-80123,897,1988,4/19/1988,10/11/1989,2,N,M,1,540
-SWO,1043-80125,899,1990,3/15/1990,10/16/1991,2,Y,M,1,580
-SWO,1043-80125,899,1990,3/15/1990,10/16/1991,2,Y,M,1,580
-SAO,1043-80139,913,1991,3/14/1991,2/12/1995,3,Y,M,1,1431
-SOF,1043-80142,916,1990,5/2/1990,7/16/1992,2,Y,M,1,806
-SOF,1043-80142,916,1990,5/2/1990,7/16/1992,2,Y,M,1,806
-SWF,1043-80143,917,1991,3/22/1991,11/13/1991,3,Y,M,1,236
-SRF,1043-80144,918,1991,5/2/1991,6/12/1996,3,Y,M,1,1868
-SRF,1043-80144,918,1991,5/2/1991,6/12/1996,3,Y,M,1,1868
-SRL,1043-80151,925,1990,4/6/1990,4/14/1993,2,Y,M,1,1104
-SBP,1043-80161,935,1991,3/21/1991,1/18/1992,3,Y,M,1,303
-SBP,1043-80161,935,1991,3/21/1991,1/18/1992,3,Y,M,1,303
-SBP,1043-80161,935,1991,3/21/1991,1/18/1992,3,Y,M,1,303
-SBP,1043-80161,935,1991,3/21/1991,1/18/1992,3,Y,M,1,303
B-FC,1043-80177,951,1988,5/5/1988,3/16/1995,2,N,M,1,2506
-SLF,1043-80180,954,1990,5/5/1990,1/18/1992,2,Y,M,1,623
-SOP,1043-80188,962,1990,4/18/1990,5/19/1992,2,Y,M,1,762
-SOP,1043-80188,962,1990,4/18/1990,5/19/1992,2,Y,M,1,762
G-CY,1043-80217,991,1989,2/1/1989,6/11/1991,3,N,M,1,860
=SLB,1043-80240,1003,1991,3/16/1991,6/30/1993,3,Y,M,1,837
-ZWG,1043-90501,1038,2000,4/11/2000,10/11/2000,2,Y,M,1,183
-ZWG,1043-90501,1038,2000,4/11/2000,10/11/2000,2,Y,M,1,183
-ZWG,1043-90501,1038,2000,4/11/2000,10/11/2000,2,Y,M,1,183
-ZRG,1043-90502,1039,2000,4/1/2000,4/11/2000,2,Y,M,1,10
-ZYY,1043-90515,1052,2001,4/11/2001,11/13/2001,3,Y,M,1,216
-ZYY,1043-90515,1052,2001,4/11/2001,11/13/2001,3,Y,M,1,216
-ZLY,1043-90521,1058,2001,4/16/2001,12/10/2002,3,Y,M,1,603
-ZLY,1043-90521,1058,2001,4/16/2001,12/10/2002,3,Y,M,1,603
-ZLY,1043-90521,1058,2001,4/16/2001,12/10/2002,3,Y,M,1,603
-ZWW,1043-90540,1077,2000,4/5/2000,11/14/2005,2,Y,M,1,2049
-ZWW,1043-90540,1077,2000,4/5/2000,11/14/2005,2,Y,M,1,2049
=SBG,1053-14402,1115,1991,3/28/1991,6/11/1991,3,Y,M,1,75
-SWA,1053-14420,1133,1991,3/24/1991,6/15/1998,3,Y,M,1,2640
-SWA,1053-14420,1133,1991,3/24/1991,6/15/1998,3,Y,M,1,2640
