JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate,USFWBand,Difference
AZ-W,M,Y,SORA921,5/13/1992 0:00,12-Mar-93,1013-63301,303
BZ-W,F,Y,NNWX921,5/20/1992 0:00,13-Nov-00,1013-63312,3099
PZ-W,F,Y,WWSX921,5/18/1992 0:00,14-Jan-98,1013-63313,2067
AZ-G,M,Y,SFLA921,5/18/1992 0:00,13-Jan-94,1013-63316,605
PZ-R,F,Y,SCOP921,5/19/1992 0:00,17-Feb-94,1013-63329,639
OZ-R,M,Y,SCOP921,5/19/1992 0:00,14-Apr-93,1013-63330,330
YZ-F,F,Y,NMID922,5/31/1992 0:00,15-Jul-92,1013-63364,45
PZ-F,F,Y,NMID922,5/31/1992 0:00,13-Sep-97,1013-63366,1931
FZ-R,F,Y,WCOP921,5/31/1992 0:00,14-Apr-94,1013-63367,683
AZ-R,F,Y,WCOP921,5/31/1992 0:00,12-Feb-95,1013-63368,987
OZ-W,M,Y,SIXS921,5/29/1992 0:00,14-Apr-98,1013-63369,2146
SP-L,F,Y,FARS843,5/8/1984 0:00,09-Aug-85,1043-44202,458
ZBW-,M,Y,NMIT971,4/18/1997 0:00,11-Jul-08,1043-44215,4102
ZWR-,F,Y,SFLA971,4/19/1997 0:00,11-Apr-03,1043-44220,2183
ZGR-,M,Y,SFLA971,4/19/1997 0:00,14-Jun-01,1043-44222,1517
ZOG-,M,Y,MCBY971,4/21/1997 0:00,22-Aug-12,1043-44237,5602
ZOY-,F,Y,NWES971,4/23/1997 0:00,11-Oct-97,1043-44247,171
ZAW-,F,Y,SFLS971,4/27/1997 0:00,11-Apr-00,1043-44248,1080
ZGW-,M,Y,PRAN971,4/27/1997 0:00,12-Feb-01,1043-44253,1387
ZGY-,F,Y,NPOL971,4/27/1997 0:00,11-Oct-97,1043-44273,167
ZOW-,M,Y,JERE972,5/6/1997 0:00,11-Sep-00,1043-44289,1224
ZAR-,F,Y,HELP971,5/6/1997 0:00,17-Mar-98,1043-44290,315
ZAG-,F,Y,DEER972,5/9/1997 0:00,14-Jun-01,1043-44293,1497
ZOO-,M,Y,SCOP973,5/11/1997 0:00,11-Jul-02,1043-44300,1887
-SWO,M,Y,SIBR881,4/28/1988 0:00,16-Oct-91,1043-80125,1266
-SGO,F,Y,SIBR881,4/28/1988 0:00,10-Jun-89,1043-80127,408
-SBO,F,Y,CTRW881,4/27/1988 0:00,15-Sep-89,1043-80129,506
-SPO,F,Y,CTRW881,4/27/1988 0:00,14-Apr-93,1043-80130,1813
-SAO,M,Y,SPLT882,5/7/1988 0:00,12-Feb-95,1043-80139,2472
-SOF,M,Y,NWES881,5/7/1988 0:00,16-Jul-92,1043-80142,1531
-SWF,M,Y,SORA882,5/8/1988 0:00,13-Nov-91,1043-80143,1284
-SRF,M,Y,SORA882,5/8/1988 0:00,12-Jun-96,1043-80144,2957
-SGF,F,Y,SORA882,5/8/1988 0:00,15-Aug-89,1043-80145,464
-SWn,M,Y,LINS881,5/9/1988 0:00,12-May-88,1043-80150,3
-SRL,M,Y,LINS881,5/9/1988 0:00,14-Apr-93,1043-80151,1801
-SWn,M,Y,SIXS881,5/10/1988 0:00,14-Jun-88,1043-80158,35
-SBP,M,Y,DEER881,5/9/1988 0:00,18-Jan-92,1043-80161,1349
-SBL,F,Y,BIGL882,5/12/1988 0:00,13-Oct-92,1043-80168,1615
-SWL,F,Y,LOCK881,5/12/1988 0:00,11-Oct-89,1043-80171,517
-SGL,F,Y,BUBO881,5/18/1988 0:00,13-Jul-90,1043-80178,786
-SLF,M,Y,XRDS881,5/20/1988 0:00,18-Jan-92,1043-80180,1338
-SPP,F,Y,PLOT881,5/26/1988 0:00,17-Aug-93,1043-80187,1909
-SOP,M,Y,PLOT881,5/26/1988 0:00,19-May-92,1043-80188,1454
-SOL,F,Y,NRID882,5/30/1988 0:00,10-May-91,1043-80193,1075
-SLL,M,Y,NRID882,5/30/1988 0:00,14-Jun-90,1043-80194,745
-ZWG,M,Y,SORA982,5/10/1998 0:00,11-Oct-00,1043-90501,885
-ZRG,M,Y,SORA982,5/10/1998 0:00,11-Apr-00,1043-90502,702
-ZGG,F,Y,SORA982,5/10/1998 0:00,13-Oct-99,1043-90503,521
-ZYG,F,Y,SORA982,5/10/1998 0:00,18-Aug-99,1043-90504,465
-ZYY,M,Y,FENC981,5/14/1998 0:00,13-Nov-01,1043-90515,1279
-ZFG,M,Y,WAHO981,5/18/1998 0:00,14-Jul-99,1043-90518,422
-ZOY,M,Y,MCBY981,5/17/1998 0:00,11-Sep-00,1043-90520,848
-ZLY,M,Y,MCBY981,5/17/1998 0:00,10-Dec-02,1043-90521,1668
-ZFY,F,Y,MCBY981,5/17/1998 0:00,14-Apr-99,1043-90522,332
-ZRB,F,Y,LOPZ981,5/20/1998 0:00,14-May-08,1043-90524,3647
-ZYB,F,Y,LOPZ981,5/20/1998 0:00,14-May-01,1043-90526,1090
-ZBB,F,Y,BALD981,5/22/1998 0:00,18-Aug-99,1043-90527,453
-ZFR,F,Y,ELIN981,5/23/1998 0:00,11-May-11,1043-90533,4736
-ZWR,F,Y,KETH981,5/29/1998 0:00,11-Feb-00,1043-90536,623
-ZWW,M,Y,XRDS983,5/31/1998 0:00,14-Nov-05,1043-90540,2724
-ZRW,F,Y,XRDS983,5/31/1998 0:00,18-Aug-99,1043-90541,444
-RGZ,F,Y,WCOP901,5/13/1990 0:00,15-Jun-99,1043-90543,3320
-YSL,F,Y,NBEN861,4/30/1986 0:00,15-Jun-98,1433-92986,4429
-ZPP,F,Y,SHIC983,5/29/1998 0:00,10-Aug-00,1043-90546,804
-ZGY,F,Y,SFLA981,5/17/1998 0:00,11-Jul-02,1043-90571,1516
=SBG,M,Y,CTRN881,6/5/1988 0:00,11-Jun-91,1053-14402,1101
-SWA,M,Y,EBAY882,6/12/1988 0:00,15-Jun-98,1053-14420,3655
-SRA,F,Y,EBAY882,6/12/1988 0:00,14-Apr-93,1053-14421,1767
-SYA,M,Y,EBAY882,6/12/1988 0:00,12-Jul-88,1053-14423,30
-SPF,F,Y,BEND882,6/17/1988 0:00,16-Jul-92,1053-14424,1490
-SOA,F,Y,WCOP882,6/23/1988 0:00,12-Mar-93,1053-14442,1723
-SLA,F,Y,WCOP882,6/23/1988 0:00,15-Aug-89,1053-14443,418
-SFA,F,Y,WCOP882,6/23/1988 0:00,12-Mar-90,1053-14444,627
=SWB,F,Y,POLA882,5/20/1988 0:00,10-Jan-89,1053-14447,235
=SRB,F,Y,POLA882,5/20/1988 0:00,01-Dec-89,1053-14448,560
=SGB,F,Y,POLA882,5/20/1988 0:00,06-Jun-90,1053-14451,747
SL-L,M,Y,FIRE841,5/7/1984 0:00,17-May-90,1053-14499,2201
WSY-,M,Y,WSIX851,5/5/1985 0:00,12-Mar-88,1053-56502,1042
GAS-,M,Y,NWES811,4/18/1981 0:00,12-Aug-94,1053-56503,4864
WO-Z,F,Y,NURS891,4/8/1989 0:00,23-May-98,1053-56506,3332
GPS-,M,Y,LINX811,4/29/1981 0:00,17-May-90,1053-56510,3305
=SAB,F,Y,WSIX883,6/27/1988 0:00,12-Jul-88,1053-56513,15
RP-Z,M,Y,CTRN891,4/29/1989 0:00,01-Mar-91,1053-56515,671
Wn-Z,M,Y,SPLT891,4/22/1989 0:00,10-Jun-89,1053-56524,49
RW-Z,F,Y,SPLT891,4/22/1989 0:00,11-Oct-89,1053-56525,172
Gn-Z,F,Y,SIBR891,4/25/1989 0:00,10-Jun-89,1053-56526,46
Yn-Z,F,Y,SIBR891,4/25/1989 0:00,25-Apr-89,1053-56527,0
BW-Z,M,Y,SIBR891,4/25/1989 0:00,15-Sep-89,1053-56528,143
Pn-Z,F,Y,NO19891,5/1/1989 0:00,10-May-89,1053-56529,9
On-Z,M,Y,NO19891,5/1/1989 0:00,10-May-89,1053-56530,9
Ln-Z,F,Y,NO19891,5/1/1989 0:00,10-Jun-89,1053-56531,40
WR-Z,M,Y,LOCK891,4/29/1989 0:00,11-Jul-89,1053-56533,73
RR-Z,M,Y,LOCK891,4/29/1989 0:00,12-Mar-90,1053-56534,317
Gn-Z,M,Y,LOCK891,4/29/1989 0:00,10-Jun-89,1053-56535,42
YG-Z,F,Y,BIGL891,4/27/1989 0:00,13-Jul-90,1053-56536,442
BG-Z,M,Y,BIGL891,4/27/1989 0:00,11-Nov-92,1053-56537,1294
PG-Z,M,Y,BIGL891,4/27/1989 0:00,14-Dec-89,1053-56538,231
WW-Z,F,Y,PAST891,4/29/1989 0:00,11-Jul-89,1053-56543,73
Rn-Z,M,Y,PAST891,4/29/1989 0:00,29-Apr-89,1053-56544,0
LR-Z,M,Y,ARCT891,5/6/1989 0:00,15-Aug-89,1053-56545,101
OG-Z,F,Y,LINS892,5/2/1989 0:00,15-Sep-89,1053-56560,136
LG-Z,M,Y,LINS892,5/2/1989 0:00,16-Oct-91,1053-56561,897
Fn-Z,F,Y,LINS892,5/2/1989 0:00,10-May-89,1053-56562,8
An-Z,F,Y,LINS892,5/2/1989 0:00,10-May-89,1053-56563,8
WY-Z,M,Y,LINX891,5/3/1989 0:00,15-Apr-90,1053-56564,347
RY-Z,M,Y,LINX891,5/3/1989 0:00,13-Jul-90,1053-56565,436
WG-Z,M,Y,CTRW892,5/2/1989 0:00,17-Mar-94,1053-56566,1780
RG-Z,F,Y,CTRW892,5/2/1989 0:00,15-Sep-89,1053-56567,136
Bn-Z,F,Y,NNWX891,5/1/1989 0:00,01-May-89,1053-56568,0
Pn-Z,M,Y,NNWX891,5/1/1989 0:00,01-May-89,1053-56569,0
On-Z,M,Y,NNWX891,5/1/1989 0:00,01-May-89,1053-56570,0
AW-Z,F,Y,SFLA892,6/4/1989 0:00,11-Oct-89,1053-56660,129
LB-Z,F,Y,NWES893,5/31/1989 0:00,13-Jul-90,1053-56665,408
FB-Z,M,Y,NWES893,5/31/1989 0:00,15-Sep-89,1053-56666,107
An-Z,M,Y,NWES893,5/31/1989 0:00,31-May-89,1053-56667,0
LY-Z,M,Y,XRDS891,5/5/1989 0:00,18-Jan-92,1053-56671,988
FY-Z,F,Y,XRDS891,5/5/1989 0:00,12-Feb-95,1053-56672,2109
An-Z,F,Y,XRDS891,5/5/1989 0:00,10-Jun-89,1053-56673,36
GR-Z,M,Y,POLA891,5/6/1989 0:00,11-Oct-89,1053-56677,158
YR-Z,M,Y,POLA891,5/6/1989 0:00,14-Dec-89,1053-56678,222
BR-Z,M,Y,POLA891,5/6/1989 0:00,11-Jul-89,1053-56679,66
YW-Z,F,Y,POND891,5/7/1989 0:00,11-Oct-89,1053-56680,157
Pn-Z,M,Y,BEND891,5/14/1989 0:00,14-May-89,1053-56681,0
On-Z,M,Y,BEND891,5/14/1989 0:00,14-May-89,1053-56682,0
LW-Z,M,Y,BEND891,5/14/1989 0:00,11-Jul-89,1053-56683,58
FG-Z,M,Y,NJCT891,5/12/1989 0:00,15-Aug-89,1053-56684,95
An-Z,M,Y,NJCT891,5/12/1989 0:00,11-Jul-89,1053-56685,60
FR-Z,F,Y,EBAY892,5/16/1989 0:00,14-Sep-90,1053-56687,486
AR-Z,M,Y,EBAY892,5/16/1989 0:00,11-Oct-89,1053-56688,148
Gn-Z,F,Y,SLUM891,5/18/1989 0:00,18-May-89,1053-56689,0
Yn-Z,M,Y,SLUM891,5/18/1989 0:00,18-May-89,1053-56690,0
Bn-Z,F,Y,SLUM891,5/18/1989 0:00,18-May-89,1053-56691,0
GG-Z,F,Y,WCOP892,5/23/1989 0:00,13-Aug-92,1053-56692,1178
Yn-Z,F,Y,WCOP892,5/23/1989 0:00,23-May-89,1053-56693,0
Wn-Z,F,Y,SARA892,5/28/1989 0:00,10-Jun-89,1053-56696,13
Rn-Z,M,Y,SARA892,5/28/1989 0:00,28-May-89,1053-56697,0
GW-Z,F,Y,SARA892,5/28/1989 0:00,11-Jul-89,1053-56698,44
Yn-Z,M,Y,SARA892,5/28/1989 0:00,28-May-89,1053-56699,0
Pn-Z,F,Y,SWAL892,6/7/1989 0:00,11-Jul-89,1053-56706,34
Pn-Z,M,Y,SCOP892,6/12/1989 0:00,11-Jul-89,1053-56709,29
OR-Z,F,Y,SCOP892,6/12/1989 0:00,11-Jul-89,1053-56710,29
PW-Z,F,Y,WAHO892,6/14/1989 0:00,11-Jul-89,1053-56715,27
OW-Z,M,Y,WAHO892,6/14/1989 0:00,15-Aug-89,1053-56716,62
Ln-Z,F,Y,WAHO892,6/14/1989 0:00,14-Jun-89,1053-56717,0
Fn-Z,F,Y,MBEN892,6/12/1989 0:00,11-Oct-89,1053-56718,121
-WWZ,M,Y,POND901,4/14/1990 0:00,09-Aug-91,1053-56757,482
-YnZ,F,Y,SARA901,4/21/1990 0:00,21-Apr-90,1053-56764,0
-PGZ,M,Y,NLAK901,4/24/1990 0:00,10-Oct-96,1053-56766,2361
-GYZ,M,Y,LAZT901,4/29/1990 0:00,10-Aug-97,1053-56771,2660
-BRZ,M,Y,CTRN901,4/23/1990 0:00,13-Aug-92,1053-56773,843
-PRZ,M,Y,NNWX901,5/4/1990 0:00,01-Mar-91,1053-56780,301
-LnZ,F,Y,NNWX901,5/4/1990 0:00,04-May-90,1053-56782,0
-FRZ,F,Y,NNWX901,5/4/1990 0:00,18-Jan-92,1053-56783,624
-WRZ,M,Y,EBAY901,5/5/1990 0:00,10-Nov-94,1053-56784,1650
-RRZ,M,Y,EBAY901,5/5/1990 0:00,14-Apr-98,1053-56785,2901
-GnZ,M,Y,EBAY901,5/5/1990 0:00,14-Jun-90,1053-56786,40
-APZ,M,Y,CROS901,5/10/1990 0:00,19-May-92,1053-56787,740
-AGZ,M,Y,SCOP901,5/8/1990 0:00,13-Nov-99,1053-56788,3476
RAS-,F,Y,NWES811,4/18/1981 0:00,11-Apr-82,1053-56789,358
-GGZ,F,Y,WCOP901,5/13/1990 0:00,15-Apr-91,1053-56794,337
PC-W,M,Y,RISE021,4/11/2002 0:00,13-Dec-04,1063-42814,977
WC-W,M,Y,RUSS021,4/11/2002 0:00,10-Aug-06,1063-42815,1582
RC-W,M,Y,RUSS021,4/11/2002 0:00,11-Jun-14,1063-42816,4444
GC-W,M,Y,RUSS021,4/11/2002 0:00,14-Oct-03,1063-42817,551
YC-n,M,Y,EBAY021,4/14/2002 0:00,13-May-02,1063-42820,29
YC-G,M,Y,SCOP021,4/16/2002 0:00,14-Nov-06,1063-42826,1673
BC-G,M,Y,SCOP021,4/16/2002 0:00,12-Apr-16,1063-42827,5110
PC-n,F,Y,SCOP021,4/16/2002 0:00,17-Jun-02,1063-42828,62
GC-R,M,Y,SCRP021,4/19/2002 0:00,15-Jan-08,1063-42829,2097
YC-R,F,Y,SCRP021,4/19/2002 0:00,10-Sep-02,1063-42830,144
