USFWBand,JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate
1513-50978,FnC-,F,Y,NWES011,5/25/2001,6/14/2001
1513-50920,ARC-,F,Y,LINX011,4/29/2001,7/12/2001
1513-50921,WGC-,F,Y,SFLS011,4/28/2001,7/12/2001
1513-50926,PGC-,F,Y,ANNI011,5/3/2001,5/13/2002
1513-50930,AnC-,F,Y,SORA011,5/2/2001,5/3/2001
1513-50938,PBC-,F,Y,CACT011,5/2/2001,7/17/2009
1513-50951,FnC-,F,Y,DICE012,5/14/2001,5/14/2001
1513-50959,PnC-,F,Y,RUSS011,5/17/2001,5/25/2001
1513-50961,LLC-,F,Y,RUSS011,5/17/2001,8/9/2001
1513-50962,WLC-,F,Y,NMIT011,5/19/2001,9/10/2002
1573-66540,CO-n,F,Y,WCOP043,5/20/2004,6/11/2004
1513-50974,LBC-,F,Y,XRDS012,5/24/2001,5/13/2002
1513-50915,RnC-,F,Y,SFLA011,5/1/2001,5/15/2001
1513-50979,AnC-,F,Y,NWES011,5/25/2001,5/27/2001
1513-50980,BRC-,F,Y,CHOP013,5/25/2001,5/13/2013
1513-50992,PLC-,F,Y,SCOP012,5/27/2001,4/12/2006
1513-50994,FGC-,F,Y,FENC012,5/30/2001,4/10/2002
1513-50998,GnC-,F,Y,N18E016,6/11/2001,6/12/2001
1573-65903,C-GW,F,Y,SCOP033,6/17/2003,11/11/2004
1573-65904,C-Yn,F,Y,SCOP033,6/17/2003,6/15/2003
1573-65911,CW-G,F,Y,RUSS041,4/11/2004,6/13/2005
1573-65914,CH-W,F,Y,CTRN042,4/16/2004,1/20/2010
1513-50973,GnC-,F,Y,SCOB011,5/19/2001,6/19/2001
1513-50782,-LRC,F,Y,NMIT003,6/14/2000,8/9/2001
1513-50742,-RPC,F,Y,ANNI002,5/10/2000,12/12/2005
1513-50743,-GPC,F,Y,POWL002,5/11/2000,10/11/2000
1513-50750,-LnC,F,Y,WCPR002,5/11/2000,5/11/2000
1513-50751,-FBC,F,Y,WCPR002,5/11/2000,4/11/2001
1513-50756,-OPC,F,Y,KETH001,5/13/2000,8/10/2000
1513-50760,-FnC,F,Y,COPS001,5/18/2000,5/24/2000
1513-50761,-APC,F,Y,COPS001,5/18/2000,10/11/2000
1513-50766,-AnC,F,Y,ELIN004,6/1/2000,7/3/2000
1513-50775,-WnC,F,Y,N18E003,6/2/2000,6/2/2000
1513-50919,AWC-,F,Y,JERE011,4/29/2001,7/12/2001
1513-50781,-OfHC,F,Y,MIDR004,6/9/2000,3/13/2013
1513-50918,FWC-,F,Y,JERE011,4/29/2001,9/12/2005
1513-50783,-FRC,F,Y,NMIT003,6/14/2000,2/10/2003
1513-50785,-LAC,F,Y,POLA001,4/30/2000,5/14/2001
1513-50786,AB-C,F,Y,LINX992,5/20/1999,4/12/2005
1513-50800,WWC-,F,Y,PMPN011,4/13/2001,7/12/2001
1513-50901,RWC-,F,Y,PMPN011,4/13/2001,7/12/2001
1513-50902,GnC-,F,Y,SWSE011,4/17/2001,5/17/2001
1513-50911,OnC-,F,Y,SCRP011,4/29/2001,5/14/2001
1513-50912,LRC-,F,Y,SCRP011,4/29/2001,8/13/2002
1513-50914,WnC-,F,Y,SFLA011,5/1/2001,6/7/2001
1573-65919,CG-n,F,Y,ASPH042,4/16/2004,4/16/2004
1513-50779,-BFC,F,Y,MIDR004,6/9/2000,4/11/2003
1573-66513,CL-n,F,Y,CHOP042,5/2/2004,5/2/2004
1573-65917,CW-n,F,Y,ASPH042,4/16/2004,4/17/2004
1573-65984,CP-L,F,Y,MCBY041,4/28/2004,8/16/2010
1573-65985,CO-n,F,Y,SCRP042,4/28/2004,6/15/2004
