JayID,Jays.USFWBand,Sex,AgeKnown,NatalNest,FBreeder,Jays_1.USFWBand,MBreeder,Jays_2.USFWBand,HatchDate,MeasDate,Expr1,LastObsDate,FldgDate
WPS-,1383-27261,,Y,ROSE812,S-BW,763-25733,SG-R,1163-94224,5/9/1981,5/20/1981,11,5/10/1981,5/26/1981
RnS-,1383-27262,,Y,ROSE812,S-BW,763-25733,SG-R,1163-94224,5/9/1981,5/20/1981,11,5/10/1981,5/26/1981
GnS-,1383-27263,,Y,ROSE812,S-BW,763-25733,SG-R,1163-94224,5/9/1981,5/20/1981,11,5/10/1981,5/26/1981
SY-F,1423-42829,M,Y,PLAZ841,P-SL,793-09705,SYG-,793-09818,4/16/1984,4/27/1984,11,10/11/1985,5/5/1984
SB-F,1423-42830,F,Y,PLAZ841,P-SL,793-09705,SYG-,793-09818,4/16/1984,4/27/1984,11,10/11/1985,5/5/1984
SP-F,1453-78402,F,Y,PLAZ841,P-SL,793-09705,SYG-,793-09818,4/16/1984,4/27/1984,11,10/11/1985,5/5/1984
S-OP,1423-42712,F,Y,PLAZ831,P-SL,793-09705,SYG-,793-09818,4/21/1983,5/2/1983,11,10/11/1985,5/10/1983
S-LP,1423-42713,F,Y,PLAZ831,P-SL,793-09705,SYG-,793-09818,4/21/1983,5/2/1983,11,10/11/1985,5/10/1983
S-FP,1423-42714,M,Y,PLAZ831,P-SL,793-09705,SYG-,793-09818,4/21/1983,5/2/1983,11,10/11/1985,5/10/1983
S-AP,1423-42715,M,Y,PLAZ831,P-SL,793-09705,SYG-,793-09818,4/21/1983,5/2/1983,11,10/11/1985,5/10/1983
SL-B,1423-42805,F,Y,BEND841,SWW-,793-09806,-RSW,793-09727,4/8/1984,4/19/1984,11,9/13/1984,4/25/1984
SF-B,1423-42806,,Y,BEND841,SWW-,793-09806,-RSW,793-09727,4/8/1984,4/19/1984,11,9/13/1984,4/25/1984
SA-B,1423-42807,F,Y,BEND841,SWW-,793-09806,-RSW,793-09727,4/8/1984,4/19/1984,11,9/13/1984,4/25/1984
S-Wn,1423-42696,,Y,BEND831,SWW-,793-09806,-RSW,793-09727,4/16/1983,4/27/1983,11,9/13/1984,5/5/1983
