Year,Terr,JayID,Sex,TerrYr,Help,HelpNum
1977,ANNI,WS-B,F,ANNI77,1,2
1977,ANNI,LS-P,M,ANNI77,1,2
1977,ARCT,AS-R,M,ARCT77,0,0
1977,ARCT,G-SF,F,ARCT77,0,0
1977,BEND,-LRS,F,BEND77,1,2
1977,BEND,RS-P,M,BEND77,1,2
1977,BIGL,R-WS,F,BIGL77,1,1
1977,BIGL,SA-G,M,BIGL77,1,1
1977,CABE,PW-S,F,CABE77,0,0
1977,CABE,SB-B,M,CABE77,0,0
1977,COPS,FW-S,F,COPS77,1,2
1977,COPS,Y-OS,M,COPS77,1,2
1977,CTRW,ASR-,M,CTRW77,0,0
1977,CTRW,SY-R,F,CTRW77,0,0
1977,ECUL,G-YS,M,ECUL77,1,2
1977,ECUL,P-BS,F,ECUL77,1,2
1977,FARS,SB=W,M,FARS77,0,0
1977,FARS,Y-SA,F,FARS77,0,0
1977,FIRE,R-PS,M,FIRE77,1,1
1977,FIRE,LSB-,F,FIRE77,1,1
1977,NBEN,FSB-,F,NBEN77,0,0
1977,NBEN,WSW-,M,NBEN77,0,0
1977,NRID,B-SY,F,NRID77,1,1
1977,NWES,R-SO,F,NWES77,1,3
1977,NWES,F-GS,M,NWES77,1,3
1977,NWXR,RSW-,F,NWXR77,0,0
1977,NWXR,LWS-,M,NWXR77,0,0
1977,PLAZ,AS-W,F,PLAZ77,1,2
1977,PLAZ,G-WS,M,PLAZ77,1,2
1977,PLOT,LL-S,M,PLOT77,1,2
1977,PLOT,BGS-,F,PLOT77,1,2
1977,ROSE,S-BW,F,ROSE77,1,1
1977,ROSE,SG-R,M,ROSE77,1,1
1977,SAND,-ALS,M,SAND77,0,0
1977,SAND,L-SR,F,SAND77,0,0
1977,SFLA,P-SL,F,SFLA77,0,0
1977,SFLA,B-RS,M,SFLA77,0,0
1977,SIXS,B-SB,F,SIXS77,1,4
1977,SIXS,O-SW,M,SIXS77,1,4
1977,SORA,-LBS,F,SORA77,1,5
1977,SORA,-BYS,M,SORA77,1,5
1977,SWCO,SR-G,M,SWCO77,0,0
1977,SWCO,SY-W,F,SWCO77,0,0
1977,WCUL,AA-S,F,WCUL77,0,0
1977,WCUL,W-AS,M,WCUL77,0,0
1977,WLIN,Y-SY,M,WLIN77,0,0
1977,WLIN,G-SA,F,WLIN77,0,0
1977,XRDS,-ORS,M,XRDS77,1,2
1977,XRDS,B-PS,F,XRDS77,1,2
1977,YTRE,FSY-,F,YTRE77,1,1
1977,YTRE,B-SL,M,YTRE77,1,1
1978,ANNI,LS-P,M,ANNI78,1,2
1978,ANNI,WS-B,F,ANNI78,1,2
1978,ARCT,AS-R,M,ARCT78,1,1
1978,ARCT,G-SF,F,ARCT78,1,1
1978,BEND,-LRS,F,BEND78,0,0
1978,BEND,-RSW,M,BEND78,0,0
1978,BIGL,SA-G,M,BIGL78,1,1
1978,BIGL,R-WS,F,BIGL78,1,1
1978,CABE,PW-S,F,CABE78,0,0
1978,CABE,SB-B,M,CABE78,0,0
1978,CABS,RSY-,F,CABS78,0,0
1978,CABS,SY-P,M,CABS78,0,0
1978,CITE,PPS-,M,CITE78,0,0
1978,CITE,S-BG,F,CITE78,0,0
1978,COPS,FW-S,F,COPS78,1,3
1978,COPS,Y-OS,M,COPS78,1,3
1978,CTRW,ASR-,M,CTRW78,1,1
1978,CTRW,SY-R,F,CTRW78,1,1
1978,DOME,O-SY,F,DOME78,0,0
1978,DOME,ASP-,M,DOME78,0,0
1978,ECUL,G-YS,M,ECUL78,1,1
1978,ECUL,P-BS,F,ECUL78,1,1
1978,FARS,SB=W,M,FARS78,0,0
1978,FARS,Y-SA,F,FARS78,0,0
1978,NBEN,FSB-,F,NBEN78,1,1
1978,NBEN,WSW-,M,NBEN78,1,1
1978,NRID,ASB-,M,NRID78,1,1
1978,NRID,B-SY,F,NRID78,1,1
1978,NWES,P-SO,F,NWES78,1,2
1978,NWES,F-GS,M,NWES78,1,2
1978,NWXR,RSW-,F,NWXR78,0,0
1978,NWXR,LWS-,M,NWXR78,0,0
1978,PLAZ,AS-W,F,PLAZ78,1,2
1978,PLAZ,R-PS,M,PLAZ78,1,2
1978,PLOT,LL-S,M,PLOT78,0,0
1978,PLOT,BGS-,F,PLOT78,0,0
1978,POLE,F-AS,F,POLE78,0,0
1978,POLE,-BSR,M,POLE78,0,0
1978,ROSE,S-BW,F,ROSE78,1,1
1978,ROSE,SG-R,M,ROSE78,1,1
1978,SAND,-ALS,M,SAND78,1,1
1978,SAND,L-SR,F,SAND78,1,1
1978,SBAY,PSP-,M,SBAY78,0,0
1978,SBAY,YSP-,F,SBAY78,0,0
1978,SFLA,P-SL,F,SFLA78,0,0
1978,SFLA,B-RS,M,SFLA78,0,0
1978,SIXS,B-SB,F,SIXS78,0,0
1978,SIXS,O-SW,M,SIXS78,0,0
1978,SORA,-LBS,F,SORA78,1,2
1978,SORA,-BYS,M,SORA78,1,2
1978,SWCO,SY-W,F,SWCO78,0,0
1978,SWCO,SR-G,M,SWCO78,0,0
1978,WBEN,LSW-,F,WBEN78,0,0
1978,WBEN,WSG-,M,WBEN78,0,0
1978,WCUL,AA-S,F,WCUL78,1,2
1978,WCUL,W-AS,M,WCUL78,1,2
1978,WFEN,SP-R,M,WFEN78,0,0
1978,WFEN,P-SW,F,WFEN78,0,0
1978,WLIN,Y-SY,M,WLIN78,1,1
1978,WLIN,G-SA,F,WLIN78,1,1
1978,XRDS,-ORS,M,XRDS78,1,3
1978,XRDS,B-PS,F,XRDS78,1,3
1978,YTRE,FSY-,F,YTRE78,0,0
1978,YTRE,B-SL,M,YTRE78,0,0
1979,ANNI,WS-B,F,ANNI79,1,6
1979,ANNI,FSP-,M,ANNI79,1,6
1979,ARCT,AS-R,M,ARCT79,1,4
1979,ARCT,G-SF,F,ARCT79,1,4
1979,BEND,-RSW,M,BEND79,1,2
1979,BEND,-LRS,F,BEND79,1,2
1979,BIGL,R-WS,F,BIGL79,1,1
1979,BIGL,SA-G,M,BIGL79,1,1
1979,CABS,SY-P,M,CABS79,1,2
1979,CABS,-ASY,F,CABS79,1,2
1979,COPS,FW-S,F,COPS79,1,1
1979,COPS,Y-OS,M,COPS79,1,1
1979,CTRW,O-SF,F,CTRW79,0,0
1979,CTRW,ASR-,M,CTRW79,0,0
1979,ECUL,G-YS,M,ECUL79,1,4
1979,ECUL,P-BS,F,ECUL79,1,4
1979,FARS,SB=W,M,FARS79,0,0
1979,FARS,Y-SA,F,FARS79,0,0
1979,JUNK,SWW-,F,JUNK79,0,0
1979,JUNK,SYG-,M,JUNK79,0,0
1979,NBAY,SBR-,F,NBAY79,0,0
1979,NBAY,PSB-,M,NBAY79,0,0
1979,NBEN,FSB-,F,NBEN79,1,1
1979,NBEN,SLR-,F,NBEN79,1,1
1979,NBEN,SPG-,M,NBEN79,1,1
1979,NCOP,SWG-,M,NCOP79,0,0
1979,NCOP,-WSR,F,NCOP79,0,0
1979,NRID,B-SY,F,NRID79,0,0
1979,NRID,ASB-,M,NRID79,0,0
1979,NWES,A-SA,F,NWES79,1,3
1979,NWES,F-GS,M,NWES79,1,3
1979,NWXR,RSW-,F,NWXR79,1,3
1979,NWXR,LWS-,M,NWXR79,1,3
1979,PLAZ,AS-W,F,PLAZ79,1,5
1979,PLAZ,R-PS,M,PLAZ79,1,5
1979,PLOT,LL-S,M,PLOT79,1,5
1979,PLOT,BGS-,F,PLOT79,1,5
1979,POLA,BSR-,M,POLA79,1,4
1979,POLA,P-SY,F,POLA79,1,4
1979,POLE,SFR-,F,POLE79,1,2
1979,POLE,-BSR,M,POLE79,1,2
1979,ROSE,SG-R,M,ROSE79,1,3
1979,ROSE,S-BW,F,ROSE79,1,3
1979,SAND,-ALS,M,SAND79,1,6
1979,SAND,L-SR,F,SAND79,1,6
1979,SBAY,PSP-,M,SBAY79,1,3
1979,SBAY,YSP-,F,SBAY79,1,3
1979,SFLA,P-SL,F,SFLA79,1,2
1979,SFLA,-WSB,M,SFLA79,1,2
1979,SIXS,O-SY,F,SIXS79,1,5
1979,SIXS,O-SW,M,SIXS79,1,5
1979,SORA,SRG-,F,SORA79,1,1
1979,SORA,SGY-,M,SORA79,1,1
1979,SSAN,SBW-,M,SSAN79,1,3
1979,SSAN,O-SP,F,SSAN79,1,3
1979,WBEN,LSW-,F,WBEN79,1,2
1979,WBEN,SRW-,M,WBEN79,1,2
1979,WCUL,AA-S,F,WCUL79,1,5
1979,WCUL,W-AS,M,WCUL79,1,5
1979,WLIN,L-SW,M,WLIN79,1,2
1979,WLIN,G-SA,F,WLIN79,1,2
1979,XRDS,-ORS,M,XRDS79,1,3
