JayID,Sex,AgeKnown,NatalNest,FldgDate,LastObsDate,USFWBand,Difference,ClutchNum
AZ-W,M,Y,SORA921,5/13/1992,3/12/1993,1013-63301,303,1
AZ-W,M,Y,SORA921,5/13/1992,3/12/1993,1013-63301,303,1
BZ-W,F,Y,NNWX921,5/20/1992,11/13/2000,1013-63312,3099,1
BZ-W,F,Y,NNWX921,5/20/1992,11/13/2000,1013-63312,3099,1
BZ-W,F,Y,NNWX921,5/20/1992,11/13/2000,1013-63312,3099,1
PZ-W,F,Y,WWSX921,5/18/1992,1/14/1998,1013-63313,2067,1
PZ-W,F,Y,WWSX921,5/18/1992,1/14/1998,1013-63313,2067,1
AZ-G,M,Y,SFLA921,5/18/1992,1/13/1994,1013-63316,605,1
AZ-G,M,Y,SFLA921,5/18/1992,1/13/1994,1013-63316,605,1
AZ-G,M,Y,SFLA921,5/18/1992,1/13/1994,1013-63316,605,1
PZ-R,F,Y,SCOP921,5/19/1992,2/17/1994,1013-63329,639,1
PZ-R,F,Y,SCOP921,5/19/1992,2/17/1994,1013-63329,639,1
OZ-R,M,Y,SCOP921,5/19/1992,4/14/1993,1013-63330,330,1
OZ-R,M,Y,SCOP921,5/19/1992,4/14/1993,1013-63330,330,1
YZ-F,F,Y,NMID922,5/31/1992,7/15/1992,1013-63364,45,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
PZ-F,F,Y,NMID922,5/31/1992,9/13/1997,1013-63366,1931,2
