Jays.USFWBand,JayID,Sex,AgeKnown,NatalNest,FldgDate,MaxOfMaxOfCensusDate
1573-65914,CH-W,F,Y,3,4/16/2004,1/20/2010
1573-65914,CH-W,F,Y,3,4/16/2004,1/20/2010
1573-65914,CH-W,F,Y,3,4/16/2004,1/20/2010
1573-65914,CH-W,F,Y,3,4/16/2004,1/20/2010
1573-65914,CH-W,F,Y,3,4/16/2004,1/20/2010
1573-65914,CH-W,F,Y,3,4/16/2004,1/20/2010
1573-65916,CP-W,M,Y,3,4/16/2004,8/18/2008
1573-65916,CP-W,M,Y,3,4/16/2004,8/18/2008
1573-65916,CP-W,M,Y,3,4/16/2004,8/18/2008
1573-65916,CP-W,M,Y,3,4/16/2004,8/18/2008
1573-65916,CP-W,M,Y,3,4/16/2004,8/18/2008
1573-65916,CP-W,M,Y,3,4/16/2004,8/18/2008
1573-65916,CP-W,M,Y,3,4/16/2004,8/18/2008
1573-65916,CP-W,M,Y,3,4/16/2004,8/18/2008
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50302,YP-C,M,Y,5,5/8/1999,6/14/2006
1513-50303,BP-C,M,Y,5,5/8/1999,9/11/2000
1513-50303,BP-C,M,Y,5,5/8/1999,9/11/2000
1513-50303,BP-C,M,Y,5,5/8/1999,9/11/2000
1513-50303,BP-C,M,Y,5,5/8/1999,9/11/2000
1513-50304,PP-C,F,Y,5,5/8/1999,2/11/2000
1513-50304,PP-C,F,Y,5,5/8/1999,2/11/2000
1513-50304,PP-C,F,Y,5,5/8/1999,2/11/2000
1423-42735,S-BA,F,Y,9,5/12/1983,12/14/1989
1423-42735,S-BA,F,Y,9,5/12/1983,12/14/1989
1423-42735,S-BA,F,Y,9,5/12/1983,12/14/1989
1423-42735,S-BA,F,Y,9,5/12/1983,12/14/1989
1423-42737,S-OA,,Y,9,5/12/1983,11/11/1983
1423-42737,S-OA,,Y,9,5/12/1983,11/11/1983
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42738,S-LA,M,Y,9,5/12/1983,7/11/1989
1423-42739,S-FA,F,Y,9,5/12/1983,8/7/1984
1423-42739,S-FA,F,Y,9,5/12/1983,8/7/1984
1423-42739,S-FA,F,Y,9,5/12/1983,8/7/1984
1053-14402,=SBG,M,Y,14,6/5/1988,6/11/1991
1053-14402,=SBG,M,Y,14,6/5/1988,6/11/1991
1053-14402,=SBG,M,Y,14,6/5/1988,6/11/1991
1053-56773,-BRZ,M,Y,22,4/23/1990,8/13/1992
1053-56773,-BRZ,M,Y,22,4/23/1990,8/13/1992
1053-56773,-BRZ,M,Y,22,4/23/1990,8/13/1992
1053-56773,-BRZ,M,Y,22,4/23/1990,8/13/1992
1053-56515,RP-Z,M,Y,23,4/29/1989,3/1/1991
1053-56515,RP-Z,M,Y,23,4/29/1989,3/1/1991
1053-56515,RP-Z,M,Y,23,4/29/1989,3/1/1991
1433-87450,OSn-,,Y,24,5/8/1985,5/14/1985
1433-87450,OSn-,,Y,24,5/8/1985,5/14/1985
1433-87451,LSL-,,Y,24,5/8/1985,7/15/1985
1433-87451,LSL-,,Y,24,5/8/1985,7/15/1985
1433-87451,LSL-,,Y,24,5/8/1985,7/15/1985
1433-87452,FSL-,M,Y,24,5/8/1985,4/15/1987
1433-87452,FSL-,M,Y,24,5/8/1985,4/15/1987
1433-87452,FSL-,M,Y,24,5/8/1985,4/15/1987
1433-87453,ASn-,,Y,24,5/8/1985,5/14/1985
1433-87453,ASn-,,Y,24,5/8/1985,5/14/1985
1603-51595,-CGH,M,Y,27,5/6/2008,7/11/2008
1603-51595,-CGH,M,Y,27,5/6/2008,7/11/2008
1603-51596,-CGA,F,Y,27,5/6/2008,7/11/2008
1603-51596,-CGA,F,Y,27,5/6/2008,7/11/2008
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66594,HCR-,F,Y,28,4/22/2005,8/12/2015
1573-66595,BCR-,F,Y,28,4/22/2005,3/13/2008
1573-66595,BCR-,F,Y,28,4/22/2005,3/13/2008
1573-66595,BCR-,F,Y,28,4/22/2005,3/13/2008
1573-66595,BCR-,F,Y,28,4/22/2005,3/13/2008
1573-66595,BCR-,F,Y,28,4/22/2005,3/13/2008
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1573-66596,PCR-,M,Y,28,4/22/2005,5/19/2010
1423-42857,SA-O,F,Y,29,5/9/1984,7/15/1985
1423-42857,SA-O,F,Y,29,5/9/1984,7/15/1985
1423-42857,SA-O,F,Y,29,5/9/1984,7/15/1985
1423-42857,SA-O,F,Y,29,5/9/1984,7/15/1985
1053-56566,WG-Z,M,Y,32,5/2/1989,3/17/1994
1053-56566,WG-Z,M,Y,32,5/2/1989,3/17/1994
1053-56566,WG-Z,M,Y,32,5/2/1989,3/17/1994
1053-56566,WG-Z,M,Y,32,5/2/1989,3/17/1994
1053-56566,WG-Z,M,Y,32,5/2/1989,3/17/1994
1053-56566,WG-Z,M,Y,32,5/2/1989,3/17/1994
1053-56566,WG-Z,M,Y,32,5/2/1989,3/17/1994
1053-56566,WG-Z,M,Y,32,5/2/1989,3/17/1994
1053-56566,WG-Z,M,Y,32,5/2/1989,3/17/1994
1053-56566,WG-Z,M,Y,32,5/2/1989,3/17/1994
1053-56567,RG-Z,F,Y,32,5/2/1989,9/15/1989
1053-56567,RG-Z,F,Y,32,5/2/1989,9/15/1989
1053-56567,RG-Z,F,Y,32,5/2/1989,9/15/1989
1043-80129,-SBO,F,Y,34,4/27/1988,9/15/1989
1043-80129,-SBO,F,Y,34,4/27/1988,9/15/1989
1043-80129,-SBO,F,Y,34,4/27/1988,9/15/1989
1043-80130,-SPO,F,Y,34,4/27/1988,4/14/1993
1043-80130,-SPO,F,Y,34,4/27/1988,4/14/1993
1043-80130,-SPO,F,Y,34,4/27/1988,4/14/1993
1043-80130,-SPO,F,Y,34,4/27/1988,4/14/1993
1043-80130,-SPO,F,Y,34,4/27/1988,4/14/1993
1043-80130,-SPO,F,Y,34,4/27/1988,4/14/1993
1043-80130,-SPO,F,Y,34,4/27/1988,4/14/1993
1423-42745,S-WL,F,Y,39,5/16/1983,10/14/1986
1423-42745,S-WL,F,Y,39,5/16/1983,10/14/1986
1423-42745,S-WL,F,Y,39,5/16/1983,10/14/1986
