TERRYR,year_,Count,InABS
ANNI71,1971,3163,TRUE
ANNN71,1971,2901,TRUE
BEND71,1971,4489,TRUE
BIGL71,1971,4170,TRUE
CABS71,1971,3813,TRUE
COPS71,1971,10656,TRUE
ECUL71,1971,3443,TRUE
FIRE71,1971,1783,TRUE
OBEN71,1971,1648,TRUE
PLAZ71,1971,3095,TRUE
PLOT71,1971,2216,TRUE
POWL71,1971,3401,TRUE
ROSE71,1971,6681,TRUE
SFLC71,1971,2381,TRUE
SFLN71,1971,3165,TRUE
SFLS71,1971,2019,TRUE
SIXS71,1971,5151,TRUE
SORR71,1971,3499,TRUE
XRDS71,1971,7043,TRUE
ANNI72,1972,3054,TRUE
ANNN72,1972,2944,TRUE
BEND72,1972,2820,TRUE
BIGL72,1972,3994,TRUE
CABB72,1972,1556,TRUE
CABE72,1972,1507,TRUE
CABS72,1972,3155,TRUE
COPS72,1972,5098,TRUE
ECUL72,1972,3140,TRUE
ELIN72,1972,8396,TRUE
FIRE72,1972,3364,TRUE
NWXR72,1972,2637,TRUE
OBEN72,1972,1889,TRUE
PLAZ72,1972,2096,TRUE
PLOT72,1972,2583,TRUE
POWL72,1972,2915,TRUE
ROSE72,1972,4117,TRUE
SAND72,1972,1122,TRUE
SCOP72,1972,3888,TRUE
SFLC72,1972,1847,TRUE
SFLN72,1972,4620,TRUE
SFLS72,1972,2393,TRUE
SIXS72,1972,4925,TRUE
SORA72,1972,3194,TRUE
SORR72,1972,2658,TRUE
WCUL72,1972,4500,TRUE
XRDS72,1972,5630,TRUE
ANNI73,1973,3278,TRUE
BEND73,1973,3295,TRUE
BIGL73,1973,3680,TRUE
CABE73,1973,2549,TRUE
CABS73,1973,5557,TRUE
COPS73,1973,6543,TRUE
ECUL73,1973,3187,TRUE
ELIN73,1973,8222,TRUE
FIRE73,1973,3252,TRUE
NWES73,1973,6654,FALSE
NWXR73,1973,4070,TRUE
PLAZ73,1973,1759,TRUE
PLOT73,1973,1915,TRUE
POWL73,1973,2698,TRUE
ROSE73,1973,4832,TRUE
SAND73,1973,2628,TRUE
SCOP73,1973,2682,TRUE
SFLA73,1973,4300,TRUE
SIXS73,1973,5353,TRUE
SORA73,1973,3640,TRUE
STIL73,1973,1126,TRUE
SWCO73,1973,3854,TRUE
WCUL73,1973,6224,FALSE
WLIN73,1973,7068,FALSE
XRDS73,1973,4901,TRUE
YTRE73,1973,2659,TRUE
ANNI74,1974,4422,TRUE
BEND74,1974,3262,TRUE
BIGL74,1974,4631,TRUE
CABE74,1974,2422,TRUE
CABS74,1974,3963,TRUE
COPB74,1974,4047,TRUE
COPS74,1974,7612,TRUE
ECUL74,1974,3583,TRUE
ELIN74,1974,6906,TRUE
FIRE74,1974,3602,TRUE
