TERRYR,year_,InABS,TSF_months,TSF_years,CellCount,DateOfLastFire
ANNI80,1980,TRUE,963,80,8956,1/2/1900
BAYR80,1980,TRUE,35,3,2216,5/27/1977
BAYR80,1980,TRUE,963,80,2709,1/2/1900
BEND80,1980,TRUE,35,3,34,5/26/1977
BEND80,1980,TRUE,35,3,2228,5/27/1977
BEND80,1980,TRUE,963,80,4987,1/2/1900
CABS80,1980,TRUE,35,3,1846,5/27/1977
CABS80,1980,TRUE,62,5,32,2/13/1975
CABS80,1980,TRUE,77,7,209,11/7/1973
CABS80,1980,TRUE,159,13,77,1/2/1967
CABS80,1980,TRUE,963,80,3771,1/2/1900
COPS80,1980,TRUE,3,0,4372,1/25/1980
COPS80,1980,TRUE,35,3,825,5/27/1977
COPS80,1980,TRUE,77,7,388,11/7/1973
COPS80,1980,TRUE,963,80,1987,1/2/1900
DIKE80,1980,FALSE,963,80,4653,1/2/1900
FARS80,1980,TRUE,3,0,553,1/25/1980
FARS80,1980,TRUE,963,80,2234,1/2/1900
FIRE80,1980,TRUE,35,3,1293,5/27/1977
FIRE80,1980,TRUE,963,80,287,1/2/1900
LINS80,1980,TRUE,35,3,6096,5/27/1977
LINS80,1980,TRUE,77,7,402,11/7/1973
LINS80,1980,TRUE,159,13,144,1/2/1967
LINX80,1980,FALSE,963,80,6319,1/2/1900
NBEN80,1980,TRUE,33,3,8,7/4/1977
NBEN80,1980,TRUE,33,3,141,7/26/1977
NBEN80,1980,TRUE,963,80,6076,1/2/1900
NRID80,1980,TRUE,33,3,398,7/26/1977
NRID80,1980,TRUE,35,3,50,5/27/1977
NRID80,1980,TRUE,963,80,7284,1/2/1900
NWES80,1980,FALSE,35,3,662,5/27/1977
NWES80,1980,FALSE,963,80,4478,1/2/1900
PLAZ80,1980,TRUE,35,3,1787,5/27/1977
PLAZ80,1980,TRUE,56,5,34,8/4/1975
PLAZ80,1980,TRUE,963,80,2044,1/2/1900
PLOT80,1980,TRUE,35,3,3644,5/27/1977
PLOT80,1980,TRUE,97,8,4,3/22/1972
PLOT80,1980,TRUE,159,13,371,1/2/1967
PLOT80,1980,TRUE,963,80,1003,1/2/1900
ROSE80,1980,TRUE,35,3,2861,5/27/1977
ROSE80,1980,TRUE,77,7,1945,11/7/1973
ROSE80,1980,TRUE,159,13,1187,1/2/1967
ROSE80,1980,TRUE,963,80,2671,1/2/1900
SAND80,1980,TRUE,35,3,3068,5/27/1977
SAND80,1980,TRUE,159,13,1446,1/2/1967
SAND80,1980,TRUE,963,80,745,1/2/1900
SORA80,1980,TRUE,3,0,470,1/25/1980
SORA80,1980,TRUE,35,3,810,5/27/1977
SORA80,1980,TRUE,77,7,267,11/7/1973
SORA80,1980,TRUE,963,80,2618,1/2/1900
SSAN80,1980,TRUE,35,3,3030,5/27/1977
SSAN80,1980,TRUE,159,13,1308,1/2/1967
SSAN80,1980,TRUE,963,80,1801,1/2/1900
WCOP80,1980,TRUE,3,0,2464,1/25/1980
WCOP80,1980,TRUE,35,3,1865,5/27/1977
WCOP80,1980,TRUE,77,7,3022,11/7/1973
WCOP80,1980,TRUE,963,80,1531,1/2/1900
WLIN80,1980,FALSE,77,7,1013,11/7/1973
WLIN80,1980,FALSE,963,80,4014,1/2/1900
XRDS80,1980,TRUE,35,3,2849,5/27/1977
XRDS80,1980,TRUE,963,80,927,1/2/1900
ANNI81,1981,TRUE,975,81,5319,1/2/1900
ANYR81,1981,TRUE,975,81,1827,1/2/1900
ARCT81,1981,TRUE,9,1,25,7/7/1980
ARCT81,1981,TRUE,45,4,92,7/26/1977
ARCT81,1981,TRUE,975,81,4153,1/2/1900
BAYR81,1981,TRUE,47,4,1216,5/27/1977
BAYR81,1981,TRUE,975,81,4494,1/2/1900
BEND81,1981,TRUE,47,4,872,5/27/1977
BEND81,1981,TRUE,47,4,34,5/26/1977
BEND81,1981,TRUE,975,81,5074,1/2/1900
CABS81,1981,TRUE,47,4,1381,5/27/1977
CABS81,1981,TRUE,74,6,32,2/13/1975
CABS81,1981,TRUE,89,8,209,11/7/1973
CABS81,1981,TRUE,171,14,40,1/2/1967
CABS81,1981,TRUE,975,81,2465,1/2/1900
CACT81,1981,FALSE,89,8,110,11/7/1973
